x: 2.0223246309149463	y: -50.05	 E: 20.0
x: 3.2769962041992238	y: 50.05	 E: 0.0
x: 2.814672380137093	y: -2.9422722921395943	 E: 0.0
x: 2.8290124699361154	y: -0.7248259824978696	 E: 0.0
x: -5.21600789124188	y: 2.272669820872859	 E: 0.0
x: -6.063225879780335	y: 5.0	 E: 0.0
x: -4.118272713970057	y: 50.05	 E: 20.0
x: -4.56278091796898	y: 5.0	 E: 0.0
x: -3.002005707453939	y: 50.05	 E: 0.0
x: -1.5598589344391616	y: -0.7286166544585889	 E: 0.0
x: -2.3043388283813657	y: 50.05	 E: 20.0
x: -2.8624723316394243	y: 50.05	 E: 20.0
x: -2.462821532574515	y: 0.45400061583364343	 E: 0.0
x: -1.8546883901295406	y: -0.6771358656994703	 E: 20.0
x: -1.001027086736774	y: -0.5241902213759123	 E: 0.0
x: -1.2595115365974145	y: 1.4766458768417914	 E: 0.0
x: 1.2682749490348686	y: 1.5135307266497389	 E: 0.0
x: 0.964180001495212	y: -1.1490678503537954	 E: 0.0
x: 1.6171808847211342	y: 1.5675532805736858	 E: 20.0
x: 2.4879815887556527	y: 0.4503161265167293	 E: 20.0
x: 2.1566517251905237	y: -0.5649426717785965	 E: 0.0
x: 4.946966789628488	y: 1.9064885478615547	 E: 0.0
x: 4.069287164991592	y: 2.6568015926755075	 E: 20.0
x: 3.556062955828253	y: 50.05	 E: 0.0
x: 3.0949721447010283	y: -1.1714748598851952	 E: 0.0
x: 6.214722674815773	y: 2.940243463882743	 E: 0.0
x: 5.529155119157197	y: -2.3591863465994045	 E: 0.0
x: -6.243103636452545	y: -2.939946166216841	 E: 0.0
x: -4.132914299371581	y: -2.6791409496578735	 E: 0.0
x: -5.189941308303954	y: -3.7946938403361488	 E: 0.0
x: -2.9862450606294733	y: -0.14253682064224238	 E: 20.0
x: -3.4767385489619542	y: 1.6654114585712914	 E: 20.0
x: -2.5583575950825646	y: 0.04767962396479039	 E: 20.0
x: -1.5	y: 0.0	 E: 0.0
x: -2.03454765480271	y: -4.09141495714816	 E: 0.0
x: -2.164805452566851	y: 50.05	 E: 20.0
x: -1.7163521897264729	y: -2.0394018944566987	 E: 20.0
x: 1.2557544743243254	y: -1.8517961145471	 E: 0.0
x: 1.906564810305547	y: 0.34271750188999867	 E: 20.0
x: 2.3043388283814767	y: 49.95	 E: 20.0
x: 1.5447308669036661	y: -3.0778070707439733	 E: 0.0
x: 2.776212720672332	y: 0.23661462078425097	 E: 20.0
x: 2.7188627009411643	y: 50.05	 E: 20.0
x: 4.56278091796898	y: -5.0	 E: 0.0
x: 3.835129707457282	y: 50.05	 E: 0.0
x: 3.280508054559344	y: -49.95	 E: 0.0
x: 6.617211118586621	y: -1.7955477444574306	 E: 0.0
x: 5.801437841039912	y: 5.0	 E: 0.0
x: 2.119013807787769	y: 1.23560618761989	 E: 0.0
x: 2.4261892919466685	y: 0.9567803333565207	 E: 20.0
x: -6.301159101124616	y: -1.733208757176098	 E: 0.0
x: -4.1846420207736745	y: -1.5491855010936275	 E: 20.0
x: -4.987601633578846	y: -1.9123227613231524	 E: 0.0
x: -2.8758033733868307	y: 0.37361429653208605	 E: 0.0
x: -3.5597002294171385	y: -49.95	 E: 20.0
x: -4.988365758461475	y: -0.016674496002716997	 E: 0.0
x: -2.2114632340798313	y: 0.20032674482660098	 E: 0.0
x: -2.517984143091129	y: 2.3566472886004712	 E: 0.0
x: -1.8340385876565464	y: 1.2353283651624136	 E: 0.0
x: -1.9152826155798952	y: 0.3377897734164738	 E: 0.0
x: 1.7421290702395613	y: 50.05	 E: 20.0
x: 3.1374628283847086	y: 50.04999999999998	 E: 20.0
x: 2.8393383373840813	y: 1.184015274095732	 E: 0.0
x: 4.5467682301115415	y: -2.727179305714024	 E: 0.0
x: 3.6955963316427676	y: 50.05	 E: 0.0
x: 6.6364478220044205	y: 3.88913281686204	 E: 0.0
x: 5.3502494959895035	y: -3.703683742546355	 E: 0.0
x: 1.8816624460540758	y: 50.05	 E: 20.0
x: 2.1607291976831053	y: 50.05	 E: 20.0
x: 2.5793293251266496	y: 50.05	 E: 20.0
x: -6.311964731185875	y: 0.06424055747042041	 E: 0.0
x: -6.649651478171791	y: -3.90967983141796	 E: 0.0
x: -5.204637107287071	y: -1.0385119739010247	 E: 0.0
x: -5.801437841039912	y: -5.0	 E: 20.0
x: -4.5	y: 49.95	 E: 20.0
x: -1.941578336505724	y: -1.693962257645681	 E: 0.0
x: -4.0222298387229936	y: 3.85818303258387	 E: 0.0
x: -2.8641387921909436	y: -1.1920706848583515	 E: 0.0
x: -3.2810724590829685	y: 50.05	 E: 0.0
x: -4.039562795583194	y: 0.3763395926494534	 E: 0.0
x: -2.4438722041958805	y: 50.05	 E: 20.0
x: -2.6367489068254675	y: -2.9822840865999027	 E: 0.0
x: -2.2096216162139357	y: 3.1063953666240827	 E: 0.0
x: 3.362014606856542	y: 0.23355625456523035	 E: 20.0
x: 2.8874840822865075	y: 0.6935310738885462	 E: 20.0
x: 4.202172315503103	y: 0.5594251396496039	 E: 20.0
x: 6.295469725033688	y: 1.6981129886103725	 E: 0.0
x: 5.138969152804369	y: 0.9841844628686492	 E: 0.0
x: 1.9430868547108577	y: 0.006788025204466252	 E: 0.0
x: 2.212879555290224	y: -3.1325116530653667	 E: 0.0
x: 2.5123222700849763	y: -0.4179939242644768	 E: 0.0
x: 2.7841981866322243	y: -3.8456715401522596	 E: 0.0
x: -5.3608065993679705	y: -2.63985150120226	 E: 0.0
x: -4.443851379206303	y: -50.0	 E: 0.0
x: -4.54164566764453	y: 1.9168807294582664	 E: 20.0
x: -3.8392059623410275	y: 50.05	 E: 0.0
x: -1.8857387009378213	y: 50.05	 E: 20.0
x: -3.1842347503008703	y: 2.2843422139016507	 E: 0.0
x: -3.4546965879283644	y: -3.9252648108850576	 E: 0.0
x: -2.583405580010395	y: 50.05	 E: 20.0
x: -2.3433119126836677	y: -1.471689717988749	 E: 0.0
x: -2.0761161332077434	y: -0.9956393724578105	 E: 20.0
x: 6.593306935585611	y: -3.4739193625561313	 E: 0.0
x: 6.217056724648604	y: 0.08354815761931707	 E: 0.0
x: 7.999999999999999	y: 5.0	 E: 0.0
x: 6.063225879780335	y: -5.0	 E: 20.0
x: 3.4028567491433876	y: 3.862832823637813	 E: 0.0
x: 4.253673099225012	y: 50.05	 E: 20.0
x: 5.153510833767934	y: 3.7004018721398864	 E: 0.0
x: 1.9712834321584647	y: 3.966500073131355	 E: 0.0
x: 2.2069269921483388	y: -0.18032159249757887	 E: 20.0
x: 2.489570140056114	y: 2.8532934038801274	 E: 0.0
x: 2.997929452570194	y: 50.05	 E: 20.0
x: -3.9787393381555423	y: 50.05	 E: 20.0
x: -3.5601392107119976	y: 50.05	 E: 0.0
x: -3.2418418311725117	y: 0.9446357074614583	 E: 28.284271247461902
x: -3.141539083268454	y: 50.05	 E: 20.0
x: -2.786585882146601	y: 3.811194066823468	 E: 20.0
x: -1.827037771846821	y: -2.5237821076522624	 E: 0.0
x: -2.8591486161199766	y: -50.05	 E: 0.0
x: -2.348552559690989	y: 0.8345134892967377	 E: 20.0
x: -2.1947905909676635	y: -0.5868462624317273	 E: 0.0
x: -2.001728474526435	y: 1.5337111324012123	 E: 20.0
x: 5.013124442884402	y: 0.034462761632447735	 E: 0.0
x: 5.329038744215382	y: -1.011094792603815	 E: 0.0
x: 5.326836742114296	y: 2.6725347717190218	 E: 0.0
x: 4.103635354010304	y: 1.5162436896996676	 E: 20.0
x: 3.4170312729249295	y: -50.05	 E: 20.0
x: 4.114196459086311	y: 50.05	 E: 20.0
x: 1.9141455260307707	y: -2.6238412957394357	 E: 0.0
x: 2.858396076755679	y: 50.05	 E: 20.0
x: 2.135177173030527	y: -1.7916308621308843	 E: 0.0
x: 2.436190919366893	y: 1.4569919138811398	 E: 0.0
x: -2.7229389558249095	y: 50.05	 E: 20.0
x: -2.0252720767523362	y: 50.05	 E: 28.284271247461902
x: -2.5049080520753177	y: -0.8943188642818471	 E: 0.0
x: -2.2029482654573447	y: 1.184103449552691	 E: 0.0
x: -1.6574542651583175	y: -0.4448327822043418	 E: 0.0
x: -2.23827205368863	y: -0.18155899900628272	 E: 0.0
x: -1.9556394575761236	y: 0.0041092237441524345	 E: 0.0
x: -1.8313434776392956	y: 0.6625478306761036	 E: 0.0
x: 4.0851509474648475	y: 5.0	 E: 0.0
x: 3.4165295800137376	y: 50.05	 E: 20.0
x: 2.6648330446225765	y: -1.1086017641508432	 E: 28.284271247461902
x: 3.0852405894013923	y: -2.302244572851639	 E: 20.0
x: 1.8428644924236348	y: -0.6638569556937497	 E: 0.0
x: 2.439795949312135	y: 50.05	 E: 20.0
x: 2.0037231400579896	y: 1.5617613474741765	 E: 0.0
x: 2.1320101475953823	y: 0.589126352611388	 E: 0.0
x: -1.526437293076027	y: 3.0593265483750107	 E: 0.0
x: -0.8625426794987237	y: 0.7092899791702842	 E: 28.284271247461902
x: -0.3834525822164724	y: 0.4787171202962407	 E: 0.0
x: 0.3013222629628542	y: -0.21215266543470104	 E: 20.0
x: -1.5142258126634807	y: -1.2773588395027122	 E: 0.0
x: -1.7462053251233063	y: 50.05	 E: 20.0
x: -1.4772116913943845	y: -0.2604719155835074	 E: 0.0
x: -1.6912807586594962	y: 0.9700204934427189	 E: 0.0
x: -1.5946377256543736	y: -1.6315661736448863	 E: 20.0
x: 1.4630623186105316	y: 50.04999999999998	 E: 28.284271247461902
